chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr22	42719817	42721361	214.9	0.7	3.580e-05	3.963e-04
chr6	37143918	37145223	61.8	-1.4	3.846e-05	3.967e-04
chr20	1776851	1777521	77.1	1.2	3.457e-05	3.968e-04
chr2	175004554	175006018	492.6	0.5	2.276e-05	4.047e-04
chr12	52116191	52118849	468.1	-0.5	2.278e-05	4.079e-04
chr8	98293289	98294659	297.4	0.6	3.955e-05	4.101e-04
chr22	45573999	45576004	144	-0.9	3.451e-05	4.106e-04
chr2	7053901	7055956	108.3	-1.1	3.456e-05	4.109e-04
chr11	64874377	64880094	2736.3	-0.2	2.885e-05	4.146e-04
chr6	35776358	35777157	54.6	1.5	4.079e-05	4.180e-04
chr7	129501562	129503404	713	0.4	1.847e-05	4.196e-04
chr18	2846507	2847687	25.8	2.4	2.435e-05	4.209e-04
chr19	55451250	55453411	281.3	0.6	3.890e-05	4.209e-04
chr7	138980478	138982368	530	0.5	2.335e-05	4.216e-04
chr12	132189165	132190720	214.3	0.7	4.148e-05	4.270e-04
chr9	134868283	134873201	1251.5	-0.3	2.303e-05	4.286e-04
chr14	104864711	104866136	166.8	0.8	4.164e-05	4.293e-04
chr19	35030122	35030890	21.1	2.7	3.557e-05	4.293e-04
chr7	74288809	74290176	161.6	0.8	3.956e-05	4.312e-04
chrX	19797193	19801685	489.7	-0.5	2.437e-05	4.312e-04
chr16	70737873	70738610	51.4	1.5	4.122e-05	4.345e-04
chr8	66176851	66177737	152	0.9	4.121e-05	4.345e-04
chr1	91885236	91886746	161.5	0.9	4.034e-05	4.385e-04
chr3	197672194	197674756	338.2	-0.6	3.964e-05	4.385e-04
chr19	48752308	48753321	93.6	1.1	3.757e-05	4.402e-04
chr6	37048907	37051301	297.9	-0.6	4.439e-05	4.402e-04
chr17	70168921	70170022	113.2	1.1	3.335e-05	4.403e-04
chr1	150548563	150549743	143.5	0.9	4.212e-05	4.418e-04
chr10	59903997	59908801	1760.3	-0.3	3.102e-05	4.420e-04
chr19	1648856	1653573	1529	-0.3	3.128e-05	4.443e-04
chr11	120210248	120211780	179.4	0.8	4.181e-05	4.517e-04
chrX	74535524	74536958	170.6	0.8	4.259e-05	4.538e-04
chr10	103677620	103678900	126.6	-1	4.378e-05	4.574e-04
chr9	132409864	132410877	168.9	0.8	4.574e-05	4.637e-04
chr19	1445955	1446724	42.7	1.7	4.543e-05	4.665e-04
chr20	64207531	64208832	98	1.1	3.215e-05	4.673e-04
chr1	155974928	155980430	1912.4	-0.2	3.347e-05	4.702e-04
chr1	54474528	54475531	43.3	1.7	4.647e-05	4.724e-04
chr17	50507816	50509144	239.4	0.7	4.470e-05	4.737e-04
chr2	10445617	10449510	1330.3	0.3	2.618e-05	4.741e-04
chr19	41521271	41522670	109.5	1	4.653e-05	4.745e-04
chr3	4977161	4981020	628.8	-0.4	2.393e-05	4.791e-04
chr6	166953692	166957711	1459.8	-0.3	5.221e-05	4.791e-04
chr17	82096480	82100549	1987.5	-0.2	3.413e-05	4.805e-04
chr3	71570846	71573712	133.2	-0.9	3.423e-05	4.940e-04
chr16	66947698	66948549	51.5	1.5	4.470e-05	4.957e-04
chr20	1265940	1266980	107	1	4.309e-05	4.965e-04
chr1	43936088	43936901	44.8	1.6	4.955e-05	5.032e-04
chr10	25016051	25017139	52.4	1.5	4.876e-05	5.032e-04
chr1	7012317	7013057	30.6	2	4.968e-05	5.034e-04
chr1	41661281	41663023	486	0.5	2.530e-05	5.034e-04
chr1	218345074	218346405	119.3	1	4.973e-05	5.034e-04
chr17	27344875	27345947	138.1	-0.9	4.897e-05	5.036e-04
chr1	37752287	37754408	205.6	0.7	5.067e-05	5.072e-04
chr5	321260	322699	59	1.4	3.926e-05	5.072e-04
chr5	75336110	75339428	1333.7	-0.3	2.840e-05	5.079e-04
chr6	30682140	30687891	1755.2	-0.3	3.597e-05	5.092e-04
chr6	137044048	137044867	28.1	2.1	5.605e-05	5.202e-04
chr17	8172453	8174931	197.5	-0.7	4.964e-05	5.245e-04
chr17	60090254	60092245	131.1	-1	5.141e-05	5.258e-04
chrX	70444576	70445567	36.2	1.8	5.280e-05	5.271e-04
chr4	122826205	122828337	535.9	0.5	3.123e-05	5.303e-04
chr11	1548131	1548693	18.1	3	3.232e-05	5.364e-04
chr1	223748641	223749443	125	0.9	4.183e-05	5.364e-04
chr3	158731809	158732645	49.5	1.5	4.915e-05	5.369e-04
chr7	100569828	100570566	70.6	1.2	5.500e-05	5.392e-04
chr16	66924712	66925617	108.7	1	5.315e-05	5.407e-04
chr2	207165270	207167279	238.3	0.7	5.164e-05	5.419e-04
chr1	156860227	156861080	36.2	1.9	5.477e-05	5.430e-04
chr2	174325857	174327706	484.2	0.5	3.191e-05	5.430e-04
chr1	65002399	65003413	47.6	1.5	5.606e-05	5.544e-04
chr20	62952229	62954838	420.8	-0.5	5.609e-05	5.544e-04
chr5	115839363	115844610	1435	-0.3	3.117e-05	5.544e-04
chr3	61560384	61562240	143.2	0.9	3.949e-05	5.572e-04
chr20	62366398	62368032	216.4	0.7	5.299e-05	5.575e-04
chr5	57171780	57180498	2072.6	-0.2	4.108e-05	5.623e-04
chr5	95283780	95284915	102.8	1.1	3.993e-05	5.623e-04
chr2	173353131	173359072	1963.8	-0.2	4.220e-05	5.741e-04
chr12	57764706	57766120	228.6	0.7	5.594e-05	5.821e-04
chr17	48036848	48038131	247.4	0.7	5.696e-05	5.846e-04
chr13	24680121	24680941	58.2	1.4	5.834e-05	5.866e-04
chr8	22693370	22696143	271.8	0.6	5.603e-05	5.866e-04
chr5	173770872	173772618	387.2	-0.5	5.628e-05	5.885e-04
chr10	62814933	62818950	790.3	0.4	1.818e-05	5.892e-04
chr7	27183359	27185074	283	0.6	5.664e-05	5.913e-04
chr1	145994049	145997680	1264.8	0.3	2.790e-05	5.945e-04
chr2	113886317	113893203	1818.8	-0.3	4.383e-05	5.969e-04
chr1	205283681	205286802	440.4	-0.5	6.230e-05	6.056e-04
chrX	13087756	13091208	115.6	-1	4.871e-05	6.127e-04
chr22	30396697	30397540	58.6	1.4	6.292e-05	6.138e-04
chr22	46674021	46675297	104.1	1	5.512e-05	6.138e-04
chr11	46295287	46296228	59.7	1.4	6.441e-05	6.190e-04
chr12	26113789	26114904	189.8	0.8	6.024e-05	6.201e-04
chr19	408496	409806	106.6	1	6.409e-05	6.273e-04
chrY	6977231	6980018	104.7	-1	4.529e-05	6.288e-04
chr9	120904227	120905520	84.9	-1.2	6.466e-05	6.319e-04
chr6	166461885	166466183	738.3	-0.4	3.005e-05	6.333e-04
chr16	48364360	48366959	447.7	0.5	6.555e-05	6.348e-04
chr2	121284482	121285754	153.7	0.9	4.598e-05	6.364e-04
chr20	36154155	36155293	148.3	0.9	4.630e-05	6.403e-04
chr20	47419147	47421727	156.4	-1.4	5.841e-05	6.456e-04
chr6	160519930	160520988	224	0.7	6.832e-05	6.571e-04
chr9	121939448	121941447	148.9	-0.9	5.360e-05	6.671e-04
chr2	74497827	74499215	80.4	1.2	6.924e-05	6.688e-04
chr1	228458140	228459446	94.3	1.1	6.912e-05	6.704e-04
chr14_GL000225v1_random	49173	49524	28.9	2.1	6.895e-05	6.704e-04
chr14	24365847	24369456	772.7	-0.4	3.218e-05	6.730e-04
chr1	1887809	1893619	1883.1	-0.2	7.737e-05	6.748e-04
chr11	46389377	46390367	139.9	0.9	6.852e-05	6.748e-04
chr17	81959259	81960507	139.6	0.9	6.981e-05	6.748e-04
chr2	8281552	8282598	59.6	-1.4	5.458e-05	6.748e-04
chr6	150616811	150620499	379.2	-0.5	7.042e-05	6.748e-04
chr14	73591496	73592722	401.4	0.5	7.313e-05	6.778e-04
chr3	63967847	63969276	82.2	1.2	7.238e-05	6.841e-04
chr8	22565202	22566560	115.5	1	6.999e-05	6.864e-04
chr1	22142193	22143542	61.6	1.3	5.626e-05	6.934e-04
chr15	80017167	80019353	180.3	-0.8	6.956e-05	6.942e-04
chr18	48975016	48976842	398.4	0.5	7.339e-05	7.001e-04
chr6	13873455	13874451	122.2	0.9	6.487e-05	7.073e-04
chr5	132011026	132012301	186.5	0.8	6.966e-05	7.083e-04
chr9	124257437	124259321	355.1	-0.6	6.977e-05	7.089e-04
chr3	187735883	187747577	3786.9	-0.2	8.232e-05	7.104e-04
chr6	84033463	84034343	24.7	2.3	6.385e-05	7.104e-04
chr11	118607540	118609025	165	0.8	7.529e-05	7.145e-04
chr4	26856963	26864189	2396.7	-0.2	5.413e-05	7.145e-04
chr17	75077103	75078121	137.9	0.9	6.663e-05	7.228e-04
chr22	44955450	44957382	136.4	-0.9	5.339e-05	7.237e-04
chr11	65637739	65639362	574.1	-0.4	4.494e-05	7.257e-04
chr8	95085925	95088353	510.9	-0.5	3.877e-05	7.270e-04
chr12	131860638	131861189	18.7	2.7	6.581e-05	7.284e-04
chr3	71540557	71543838	422.2	-0.5	7.275e-05	7.337e-04
chr2	8630629	8631854	255.3	-0.6	7.442e-05	7.344e-04
chr4	17808661	17813105	1254.8	-0.3	4.365e-05	7.363e-04
chr2	11833217	11835900	417.2	-0.8	7.973e-05	7.488e-04
chr20	2751846	2753143	232.2	0.7	7.992e-05	7.499e-04
chr19	10228518	10232311	1560.1	-0.3	5.745e-05	7.522e-04
chr15	66385874	66389521	1200.2	-0.3	4.481e-05	7.536e-04
chr7	99929045	99929701	41	1.6	7.824e-05	7.543e-04
chr16	89044083	89045629	190.8	-0.8	7.704e-05	7.663e-04
chr4	104487917	104495903	1284.1	-0.3	4.586e-05	7.756e-04
chr1	151992886	151994541	193.7	0.7	7.946e-05	7.789e-04
chr18	32018384	32019622	69.6	1.2	6.443e-05	7.789e-04
chr1	109619072	109622295	1287.2	-0.3	2.399e-05	7.828e-04
chr14	55128869	55130287	319.6	0.6	7.870e-05	7.861e-04
chr22	25447047	25449843	888.1	-0.4	2.574e-05	7.886e-04
chr5	76873923	76877891	904	-0.4	2.573e-05	7.886e-04
chr20	47409633	47413630	414.3	-0.5	8.744e-05	7.902e-04
chr5	112419423	112420603	158.4	0.8	7.997e-05	7.902e-04
chr4	37976844	37980562	1161.1	-0.3	4.804e-05	8.009e-04
chr22	45583135	45584465	102.1	-1	6.680e-05	8.028e-04
chr3	56800736	56802614	367	0.5	8.004e-05	8.036e-04
chr6	100484057	100486651	324.1	-0.6	8.704e-05	8.098e-04
chr9	137267812	137269592	188.1	0.8	8.719e-05	8.106e-04
chr15	45634527	45635787	148.4	0.8	8.513e-05	8.112e-04
chr22	39418366	39419656	133.2	-0.9	6.797e-05	8.140e-04
chr1	65147047	65150210	793.5	-0.4	2.765e-05	8.141e-04
chr2	37357562	37362312	499.5	-0.5	5.128e-05	8.233e-04
chr9	20620360	20624280	1177.4	0.3	5.030e-05	8.331e-04
chr1	7680097	7680986	43.6	1.6	8.778e-05	8.334e-04
chr13	75760482	75763301	125.4	-0.9	8.983e-05	8.371e-04
chr14_GL000225v1_random	54549	54854	35.4	1.8	9.079e-05	8.408e-04
chr22	29306338	29307157	30.9	2	8.890e-05	8.423e-04
chr18	57801877	57803752	228	0.7	9.239e-05	8.494e-04
chr12	57227102	57227969	78.7	-1.2	9.385e-05	8.550e-04
chr5	54022098	54022731	20.1	2.9	3.777e-05	8.551e-04
chr7	45088746	45089596	142.5	0.9	7.192e-05	8.551e-04
chr7	135147295	135149840	619.2	0.4	5.418e-05	8.571e-04
chr10	68230671	68232113	343.2	0.5	9.457e-05	8.663e-04
chr7	43925730	43927306	838.4	0.4	2.854e-05	8.683e-04
chr8	94640933	94643840	665	0.4	2.991e-05	8.718e-04
chr15	55528393	55533539	624.5	-0.8	5.543e-05	8.809e-04
chr3	187971074	187976965	1076	-0.3	4.425e-05	8.845e-04
chr1	243848909	243851535	505.6	0.5	4.891e-05	8.882e-04
chr2	149023073	149026420	224.4	-0.7	9.301e-05	8.904e-04
chr6	13924413	13925373	54.3	1.4	9.721e-05	8.912e-04
chr8	135456665	135458258	313.3	0.6	1.009e-04	8.926e-04
chr7	140672373	140676255	1160.3	-0.3	4.516e-05	8.996e-04
chr6	138106914	138108182	157.7	0.8	9.372e-05	9.063e-04
chr6	151493677	151494374	19	2.9	3.846e-05	9.165e-04
chr10	116741871	116743250	143.7	0.9	7.046e-05	9.189e-04
chr13	28819519	28820884	95.3	1	8.860e-05	9.234e-04
chr17	46009945	46010917	77.5	1.1	1.039e-04	9.344e-04
chr16	88067364	88069511	286.2	-0.6	9.661e-05	9.383e-04
chr17	43832523	43833470	33.1	1.8	1.015e-04	9.455e-04
chr9	137422135	137424778	1027.4	-0.3	3.304e-05	9.455e-04
chr16	58463259	58464524	54.5	1.4	9.552e-05	9.538e-04
chr10	119541585	119543768	834.6	0.4	4.844e-05	9.581e-04
chr14	99793277	99794036	69.2	1.3	1.042e-04	9.686e-04
chr15	59369651	59375484	2028.6	-0.2	1.179e-04	9.686e-04
chr18	36297010	36298655	101.5	1	7.475e-05	9.686e-04
chr19	49328648	49329621	52.4	-1.4	8.299e-05	9.686e-04
chr11	61826834	61830799	1106.9	-0.3	3.084e-05	9.717e-04
chr9	37405377	37409120	345.2	-0.6	1.004e-04	9.780e-04
chr2	219627223	219628151	69.9	1.3	8.416e-05	9.801e-04
chr22	37241786	37244788	1293.7	-0.3	3.337e-05	9.868e-04
chr11	77127181	77127609	27.2	2.2	4.245e-05	9.995e-04
chr15	91852557	91854894	449.1	0.5	1.149e-04	1.002e-03
chr2	152098655	152099549	61.8	1.4	1.013e-04	1.003e-03
chr2	108621003	108624658	372.1	-0.5	1.052e-04	1.010e-03
chr17	1727696	1728862	94.1	-1	7.865e-05	1.011e-03
chr5	73446704	73449437	281.1	0.6	1.067e-04	1.015e-03
chr7	56032716	56035090	582.6	0.4	5.700e-05	1.015e-03
chr16	66549199	66550694	446	0.5	1.137e-04	1.020e-03
chr22	49379257	49382615	280.5	0.6	1.145e-04	1.027e-03
chr3	194070290	194072026	358.7	0.5	1.186e-04	1.029e-03
chr19	48332053	48334480	497.4	-0.5	6.642e-05	1.030e-03
chr2	12106553	12110799	672.1	-0.4	6.721e-05	1.033e-03
chr3	155112574	155114973	90.1	-1.1	1.136e-04	1.042e-03
chr14_GL000225v1_random	136603	137198	38	1.7	1.151e-04	1.054e-03
chr3	14688738	14691545	295	-0.6	1.119e-04	1.058e-03
chrX	119690380	119695757	1049.5	-0.3	3.409e-05	1.060e-03
chr4	152589716	152592136	213.3	-0.7	1.137e-04	1.074e-03
chr11	46238941	46239430	31.9	1.9	1.304e-04	1.079e-03
chr13	93305265	93306803	50.9	-1.4	1.229e-04	1.080e-03
chr20	40741680	40742593	38.5	-1.7	1.187e-04	1.083e-03
chr9	88976287	88978245	100.9	-1	8.542e-05	1.086e-03
chr16	29662684	29667246	1245	-0.3	6.790e-05	1.087e-03
chr5	14011312	14012032	29.4	2	1.224e-04	1.097e-03
chr15	34365966	34368589	949.5	-0.3	5.748e-05	1.112e-03
chr12	14768516	14771629	1554.9	-0.2	1.388e-04	1.116e-03
chr19	45002249	45003294	172.5	-0.7	1.266e-04	1.116e-03
chr22	41909600	41911142	91.4	1.1	1.229e-04	1.116e-03
chr11	46916811	46919249	721	-0.4	5.881e-05	1.140e-03
chr20	32205132	32209176	1989.2	0.2	1.425e-04	1.144e-03
chr18	13823951	13824488	76.7	1.1	1.267e-04	1.148e-03
chr10	60943556	60944483	45.2	1.5	1.275e-04	1.154e-03
chr16	58421216	58423212	149	-0.8	1.275e-04	1.154e-03
chr8	53879113	53882837	1593	0.2	1.453e-04	1.163e-03
chr10	5976305	5978436	1046.4	0.3	6.080e-05	1.168e-03
chr19	7669730	7671074	131.6	0.9	9.276e-05	1.168e-03
chr11	118868221	118871307	227.2	-0.7	1.271e-04	1.168e-03
chr14	101780834	101782075	188.8	-0.7	1.352e-04	1.189e-03
chr3	93973288	93974348	109.4	0.9	1.056e-04	1.197e-03
chr17	8117696	8127366	2185.5	0.2	1.502e-04	1.197e-03
chr12	47758529	47759805	245.3	0.6	1.382e-04	1.207e-03
chr6	106695417	106697534	79.1	-1.2	1.251e-04	1.207e-03
chr1	245156039	245157360	130.3	0.9	1.210e-04	1.213e-03
chr6	73695857	73696525	25.8	2.1	1.189e-04	1.218e-03
chr22	28678970	28680269	113.2	0.9	1.219e-04	1.220e-03
chr22	31342753	31348035	1706.6	-0.2	9.865e-05	1.222e-03
chr22	25563777	25565932	672.9	0.4	8.203e-05	1.232e-03
chr1	155084395	155086721	675.8	-0.4	4.479e-05	1.241e-03
chr1	58903371	58904414	158.9	0.8	1.337e-04	1.245e-03
chr1	111737913	111740608	787.2	0.4	8.342e-05	1.250e-03
chr10	48684410	48687152	338.1	-0.5	1.331e-04	1.251e-03
chr16	1825817	1827889	786.9	0.4	8.366e-05	1.252e-03
chr2	46296694	46298194	304.4	0.6	1.337e-04	1.255e-03
chr12	6199669	6200830	42.3	1.6	1.312e-04	1.255e-03
chr8	93991148	93992017	140.1	0.8	1.422e-04	1.267e-03
chr10	21516311	21518355	337.5	0.5	1.368e-04	1.267e-03
chr15	39998487	40000125	98.6	-1	1.277e-04	1.267e-03
chr14	34129561	34131198	85.9	-1.1	1.143e-04	1.278e-03
chr18	35592329	35593695	206.2	0.7	1.381e-04	1.278e-03
chr15	89750195	89751608	320.2	0.5	1.386e-04	1.282e-03
chr11	70397207	70399384	644.5	0.4	6.772e-05	1.284e-03
chr9	129487937	129489447	202.9	0.7	1.402e-04	1.284e-03
chr19	50327711	50329009	196.6	-0.7	1.409e-04	1.290e-03
chr7	121313209	121317539	516.2	-0.5	8.705e-05	1.313e-03
chr3	72887292	72888986	175.7	0.7	1.530e-04	1.315e-03
chr1	150148999	150152115	1016	0.3	6.996e-05	1.316e-03
chr11	64233756	64236026	561.6	-0.4	8.782e-05	1.322e-03
chr12	12561146	12563284	562.3	0.4	8.931e-05	1.322e-03
chrX	70454586	70456400	294.1	-0.6	1.549e-04	1.328e-03
chr1	109509063	109510494	382.4	0.5	1.453e-04	1.334e-03
chr4	186157255	186158653	145.3	-0.8	1.356e-04	1.334e-03
chr5	20972516	20973093	17.8	2.7	1.341e-04	1.348e-03
chr19	16143287	16145836	561.3	-0.4	9.078e-05	1.350e-03
chr5	96931838	96937593	2199.5	-0.2	1.120e-04	1.361e-03
chr2	164620964	164621462	27.2	2	1.585e-04	1.361e-03
chr3	152243511	152246504	219.9	-0.7	1.535e-04	1.375e-03
chr16	31107371	31109442	880.1	-0.3	7.390e-05	1.376e-03
chr10	97713904	97714773	38.4	1.7	1.624e-04	1.392e-03
chr2	130370789	130374333	1605.7	-0.2	1.177e-04	1.393e-03
chr14	104985354	104986534	438.1	0.5	1.536e-04	1.401e-03
chr13	51221624	51223163	449.6	0.5	1.538e-04	1.402e-03
chr20	49484142	49484712	42.5	1.5	1.642e-04	1.404e-03
chr19	14476235	14476854	19.6	2.7	6.346e-05	1.413e-03
chr16	74774164	74775298	201.7	0.7	1.596e-04	1.422e-03
chr2	98011740	98012909	76	-1.1	1.712e-04	1.440e-03
chr2	88451798	88453323	95	1.1	1.315e-04	1.444e-03
chr3	545719	548004	89.5	-1.1	1.316e-04	1.444e-03
chr10	26621948	26622847	67.5	1.2	1.658e-04	1.445e-03
chr12	49345383	49346340	46.1	1.5	1.322e-04	1.448e-03
chr8	11457154	11458596	66.9	-1.2	1.711e-04	1.455e-03
chr6	27019509	27020748	76.3	1.2	1.680e-04	1.461e-03
chr13	99892290	99893163	35.7	1.7	1.858e-04	1.463e-03
chr20	29411013	29411680	32.4	1.8	1.723e-04	1.463e-03
chrX	39820899	39821744	26.3	2.2	1.049e-04	1.482e-03
chr1	176204252	176208636	1704.3	-0.2	1.947e-04	1.495e-03
chr16	89720110	89722961	1576.8	0.3	1.250e-04	1.495e-03
chr19	42401446	42402239	50.2	1.4	1.724e-04	1.495e-03
chr2	237057778	237060948	469.9	-0.5	1.014e-04	1.495e-03
chr11	74683081	74683795	41.1	1.5	1.770e-04	1.496e-03
chr1	6496893	6498284	166	0.8	1.669e-04	1.502e-03
chr11	72642097	72643518	113.7	0.9	1.738e-04	1.502e-03
chr6	108168259	108169420	48.9	1.5	1.387e-04	1.507e-03
chr10	101292182	101292960	35.2	1.7	1.791e-04	1.522e-03
chr19	10959881	10964070	1628.7	-0.2	1.305e-04	1.531e-03
chr11	75524877	75526830	528.4	0.4	1.065e-04	1.538e-03
chr2	39665911	39666790	42.1	1.6	1.970e-04	1.538e-03
chr18	58091458	58092733	64.4	-1.2	1.423e-04	1.541e-03
chr6	122789199	122790079	51.1	1.4	1.429e-04	1.547e-03
chr3	55484879	55489198	671	0.4	3.260e-05	1.574e-03
chr6	116370406	116371762	119.3	1.7	1.315e-04	1.576e-03
chr1	156149161	156151335	292.9	-0.6	1.819e-04	1.591e-03
chr18	58896357	58899403	568.8	-0.4	1.118e-04	1.608e-03
chr2	69741113	69742832	615.9	0.4	1.131e-04	1.612e-03
chr19	49149507	49151112	555.1	0.4	1.115e-04	1.614e-03
chr15	50181867	50183128	280.4	0.6	1.861e-04	1.624e-03
chr1	43366226	43369089	1016.2	-0.3	6.210e-05	1.632e-03
chr11	119148614	119149698	143.1	0.8	1.374e-04	1.637e-03
chr9	100083475	100084565	37.2	1.7	1.945e-04	1.637e-03
chr6	138161430	138162327	62.9	1.3	1.991e-04	1.662e-03
chr4	2817736	2818934	245.7	-0.6	1.928e-04	1.677e-03
chr17	50129772	50130763	40.4	1.6	2.016e-04	1.680e-03
chr17	20155573	20156981	119.2	0.9	1.973e-04	1.682e-03
chr7	28926789	28927265	41.9	1.5	2.022e-04	1.683e-03
chr1	231626385	231627514	111.3	0.9	1.982e-04	1.687e-03
chr1	204377690	204378616	98.3	1	2.029e-04	1.695e-03
chr7	2518826	2520406	123.3	0.9	2.030e-04	1.696e-03
chr5	10307239	10307993	81.1	1.1	2.088e-04	1.708e-03
chr8	86341799	86344901	1327.3	-0.3	1.147e-04	1.711e-03
chr14	64549684	64550562	93.6	1	1.610e-04	1.718e-03
chr17	48816657	48817748	121.5	0.9	1.463e-04	1.729e-03
chr2	183037545	183039015	218.3	0.6	1.960e-04	1.729e-03
chr7	6372818	6376844	1101.1	-0.3	6.033e-05	1.736e-03
chr22	35539827	35541302	302.6	0.5	1.969e-04	1.752e-03
chr17	65559746	65562132	470.9	0.5	1.091e-04	1.782e-03
chr6	149938255	149939329	186.9	0.7	2.072e-04	1.785e-03
chr17	9020721	9021796	45.9	1.5	2.198e-04	1.787e-03
chr17	17700268	17701010	31.4	1.9	2.166e-04	1.787e-03
chr7	2613419	2614103	36	-1.7	2.154e-04	1.790e-03
chr1	154940594	154943458	467.2	-1.2	2.042e-04	1.792e-03
chr5	172640829	172641647	29.7	1.8	2.393e-04	1.827e-03
chr11	64206113	64208581	684	0.4	3.887e-05	1.838e-03
chr1	31505853	31508224	353.6	0.5	2.105e-04	1.843e-03
chr4	153343660	153348402	923.8	-0.3	7.088e-05	1.844e-03
chr15	76335351	76341148	1267.7	0.3	1.251e-04	1.848e-03
chr19	6598211	6605809	1002.1	-0.3	6.902e-05	1.853e-03
chr17	40362366	40363723	370.4	0.5	2.310e-04	1.883e-03
chr19	3480054	3480956	63.3	-1.2	2.342e-04	1.892e-03
chr12	6927294	6928705	91.5	1.1	1.802e-04	1.900e-03
chr20	37384048	37385191	115.5	0.9	1.804e-04	1.901e-03
chr12	93591222	93591897	26.5	2.1	1.994e-04	1.906e-03
chr16	89827605	89829246	297.9	0.6	2.201e-04	1.914e-03
chr2	172100164	172101077	46	1.4	2.136e-04	1.914e-03
chr4	54233110	54234287	60.4	1.3	2.380e-04	1.914e-03
chr6	122609864	122610941	42.8	1.5	2.134e-04	1.914e-03
chr1	14296775	14298512	92.5	-1	2.062e-04	1.920e-03
chr9	93265863	93269261	1056	-0.3	7.476e-05	1.929e-03
chr11	64060472	64061553	85.7	1.1	1.674e-04	1.944e-03
chr18	63969736	63971190	574.1	0.4	1.394e-04	1.944e-03
chr9	37573914	37578216	1542.8	-0.2	2.637e-04	1.944e-03
chr2	8550376	8552822	247.3	-0.6	2.401e-04	1.945e-03
chr5	113584117	113584676	73.7	1.2	2.397e-04	1.945e-03
chr9	86946586	86948180	178	0.7	2.248e-04	1.945e-03
chr18	13464847	13465776	119.2	0.9	2.396e-04	1.954e-03
chr20	31967764	31968681	112.6	0.9	2.412e-04	1.966e-03
chr1	110668873	110675646	2340.6	-0.2	1.749e-04	1.972e-03
chr22	49670094	49670865	37.9	1.6	2.388e-04	1.979e-03
chr7	66043931	66044483	37.8	1.6	2.432e-04	1.983e-03
chr19	18202564	18205810	1339.3	-0.3	7.503e-05	1.985e-03
chr14	91264317	91265008	40.1	1.6	2.459e-04	1.987e-03
chr2	234494958	234497643	264	-0.6	2.399e-04	2.021e-03
chr5	151157220	151158222	164	0.7	2.562e-04	2.056e-03
chr6	89410617	89413336	1033.4	0.3	7.800e-05	2.059e-03
chr7	23466639	23476116	4970	-0.1	1.840e-04	2.064e-03
chr1	6259763	6261665	380.8	0.5	2.572e-04	2.068e-03
chr12	110667972	110669610	79.4	-1.1	1.997e-04	2.069e-03
chr12	14957725	14962514	1021.7	-0.3	1.187e-04	2.076e-03
chr5	151252244	151256092	880.3	-0.3	7.889e-05	2.076e-03
chr2	158968201	158969300	60.8	1.2	2.634e-04	2.087e-03
chr5	179818343	179819807	122.9	0.9	2.559e-04	2.104e-03
chr13	44373381	44374554	79.3	1.1	2.036e-04	2.104e-03
chr1	37473728	37480180	1977	-0.2	1.937e-04	2.156e-03
chr7	130486006	130487136	458.2	0.4	2.500e-04	2.156e-03
chr1	215567038	215568170	126.8	0.8	1.899e-04	2.172e-03
chr10	21525106	21527728	339.7	0.5	2.548e-04	2.172e-03
chr7	5592167	5593639	142.4	0.8	2.652e-04	2.172e-03
chr8	29350946	29351697	33.8	1.7	2.717e-04	2.172e-03
chr14	64501323	64508438	2615.3	-0.2	1.925e-04	2.175e-03
chr18	23495900	23497834	73.7	-1.1	2.683e-04	2.193e-03
chr6	47308987	47310177	403.1	0.5	2.580e-04	2.194e-03
chr15	74786180	74787434	84	-1	2.153e-04	2.211e-03
chr22	18110203	18111065	28.8	1.8	2.999e-04	2.217e-03
chr11	10450351	10451309	93.1	1	2.758e-04	2.249e-03
chr16	15948770	15952471	1183.6	-0.3	1.593e-04	2.261e-03
chr17	76990394	76991049	30.4	-1.8	2.842e-04	2.261e-03
chr9	137417245	137418243	96.1	1	2.520e-04	2.288e-03
chr1	39081405	39082045	32.1	1.8	2.630e-04	2.294e-03
chr8	8282402	8284760	179.3	-0.7	2.914e-04	2.309e-03
chr4	54091038	54092639	266	0.6	2.933e-04	2.314e-03
chr1	51329967	51331109	125.3	0.8	2.905e-04	2.317e-03
chr20	4172286	4172723	23.4	2.1	2.505e-04	2.319e-03
chr10	31031332	31032760	123.6	0.9	2.919e-04	2.325e-03
chr1	941628	942527	24.4	2.1	2.516e-04	2.327e-03
chr15	54583449	54586454	240.4	-0.6	2.959e-04	2.327e-03
chr17	75296631	75298449	103.3	-1	2.579e-04	2.327e-03
chr11	61391716	61393405	503.1	0.4	1.699e-04	2.339e-03
chr19	15836448	15837623	170.6	0.7	2.844e-04	2.343e-03
chr17	7716859	7717896	97.1	1	2.083e-04	2.346e-03
chr10	119305713	119307474	150.4	-0.8	2.649e-04	2.384e-03
chr3	10226034	10226578	32.5	-1.7	2.955e-04	2.384e-03
chr9	133991645	133993693	417.8	0.5	2.841e-04	2.384e-03
chr22	30205558	30206014	20.6	2.3	1.831e-04	2.400e-03
chr1	230145639	230147336	103.3	-0.9	2.179e-04	2.445e-03
chr16	55846348	55846888	22.2	2.3	1.268e-04	2.445e-03
chr7	130733330	130735182	758.5	0.3	1.433e-04	2.445e-03
