# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "H3K4me3.consensus_peaks.saf" "-s" "0" "-o" "H3K4me3.consensus_peaks.featureCounts.txt" "JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam" "JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam	JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam	DMSO_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam	DMSO_H3K4me3_REP2.mLb.clN.sorted.bam
Interval_18620	chr7	121440852	121441640	+	789	125	127	173	160	149	113
Interval_18621	chr7	122238083	122239046	+	964	53	59	68	80	41	51
Interval_18622	chr7	122834356	122834831	+	476	18	8	34	21	26	12
Interval_18623	chr7	123532533	123533259	+	727	69	63	93	66	71	65
Interval_18624	chr7	123534000	123535920	+	1921	494	572	583	568	494	465
Interval_18625	chr7	123556690	123558608	+	1919	1198	1252	1259	1349	1118	1124
Interval_18626	chr7	123746632	123750181	+	3550	2582	2631	2478	2812	2193	2419
Interval_18627	chr7	124064773	124065027	+	255	4	5	14	10	12	4
Interval_18628	chr7	124572350	124572829	+	480	21	12	21	12	13	10
Interval_18629	chr7	124649471	124650019	+	549	19	17	42	26	34	18
Interval_18630	chr7	124764558	124766202	+	1645	162	183	346	209	269	156
Interval_18631	chr7	124790522	124790932	+	411	17	18	32	16	22	10
Interval_18632	chr7	124928715	124930409	+	1695	730	757	818	886	735	722
Interval_18633	chr7	125181482	125182143	+	662	17	24	51	21	26	21
Interval_18634	chr7	126667978	126668256	+	279	18	11	28	19	15	15
Interval_18635	chr7	126831400	126831725	+	326	14	8	20	17	21	10
Interval_18636	chr7	127253249	127254196	+	948	181	153	301	157	237	145
Interval_18637	chr7	127347526	127348320	+	795	107	114	133	99	105	82
Interval_18638	chr7	127391108	127393848	+	2741	2317	2385	2464	2507	2209	2186
Interval_18639	chr7	127584111	127586051	+	1941	1357	1404	1399	1484	1180	1280
Interval_18640	chr7	127587752	127589491	+	1740	1284	1344	1304	1449	1161	1274
Interval_18641	chr7	127650892	127653590	+	2699	2105	2210	2171	2295	1951	1970
Interval_18642	chr7	128030626	128032883	+	2258	266	254	556	239	465	224
Interval_18643	chr7	128103319	128104968	+	1650	1326	1355	1501	1508	1239	1348
Interval_18644	chr7	128129205	128129857	+	653	30	30	55	41	34	34
Interval_18645	chr7	128135298	128136629	+	1332	460	484	677	524	556	461
Interval_18646	chr7	128166531	128168103	+	1573	63	66	269	56	205	53
Interval_18647	chr7	128201023	128201893	+	871	96	80	179	76	124	59
Interval_18648	chr7	128342105	128344243	+	2139	1227	1248	1367	1374	1135	1114
Interval_18649	chr7	128360695	128362243	+	1549	94	82	268	81	265	78
Interval_18650	chr7	128404430	128406290	+	1861	1194	1207	1263	1338	1093	1130
Interval_18651	chr7	128409140	128410701	+	1562	769	844	907	885	771	759
Interval_18652	chr7	128455136	128458631	+	3496	1820	1895	1479	2071	1163	1704
Interval_18653	chr7	128476187	128478074	+	1888	1044	1059	1093	1154	950	946
Interval_18654	chr7	128516724	128517085	+	362	14	20	6	15	6	11
Interval_18655	chr7	128529691	128533796	+	4106	1933	1975	1955	2044	1715	1956
Interval_18656	chr7	128697162	128698056	+	895	190	197	213	241	197	178
Interval_18657	chr7	128738662	128740646	+	1985	1448	1500	1662	1666	1448	1437
Interval_18658	chr7	128782890	128783409	+	520	40	24	53	34	39	42
Interval_18659	chr7	128790290	128792249	+	1960	1330	1342	1498	1440	1409	1338
Interval_18660	chr7	128829963	128830855	+	893	18	22	74	21	56	17
Interval_18661	chr7	128862235	128863959	+	1725	1284	1295	1328	1365	1173	1207
Interval_18662	chr7	128869029	128870237	+	1209	91	109	237	100	204	85
Interval_18663	chr7	128883670	128884329	+	660	272	292	245	321	226	283
Interval_18664	chr7	128890883	128891983	+	1101	97	103	143	122	116	94
Interval_18665	chr7	128937492	128939019	+	1528	545	558	843	620	732	487
Interval_18666	chr7	128940741	128941327	+	587	62	72	84	79	52	47
Interval_18667	chr7	129052931	129055872	+	2942	2106	2143	2128	2343	1905	2008
Interval_18668	chr7	129143984	129145729	+	1746	910	919	1042	958	839	773
Interval_18669	chr7	129168834	129169970	+	1137	226	248	338	302	223	260
Interval_18670	chr7	129188207	129189711	+	1505	224	271	505	264	420	221
Interval_18671	chr7	129224078	129226381	+	2304	1399	1413	1494	1510	1330	1316
Interval_18672	chr7	129433507	129435368	+	1862	1355	1396	1574	1521	1342	1281
Interval_18673	chr7	129501562	129503404	+	1843	552	625	871	661	732	590
Interval_18674	chr7	129554020	129554490	+	471	40	38	77	47	51	52
Interval_18675	chr7	129610619	129613429	+	2811	2359	2457	2402	2533	1998	2214
Interval_18676	chr7	129778711	129782245	+	3535	1878	1951	2165	2089	1912	1797
Interval_18677	chr7	129784951	129786089	+	1139	45	49	139	51	154	39
Interval_18678	chr7	129824762	129826450	+	1689	617	623	784	686	664	580
Interval_18679	chr7	129830267	129830519	+	253	18	15	27	20	26	18
Interval_18680	chr7	129948961	129953199	+	4239	2586	2770	2647	2935	2320	2501
Interval_18681	chr7	130050395	130051868	+	1474	698	728	758	804	608	693
Interval_18682	chr7	130069797	130071562	+	1766	962	967	995	1104	828	915
Interval_18683	chr7	130140998	130141967	+	970	67	73	174	87	114	80
Interval_18684	chr7	130204433	130206014	+	1582	1058	1084	1097	1148	939	1057
Interval_18685	chr7	130254772	130255159	+	388	19	19	49	22	33	12
Interval_18686	chr7	130440230	130441787	+	1558	579	557	687	645	622	565
Interval_18687	chr7	130486006	130487136	+	1131	398	383	568	449	471	351
Interval_18688	chr7	130491189	130492502	+	1314	89	92	149	83	103	78
Interval_18689	chr7	130667705	130669506	+	1802	1307	1294	1431	1405	1264	1287
Interval_18690	chr7	130733330	130735182	+	1853	698	717	914	745	761	622
Interval_18691	chr7	130841386	130841893	+	508	32	39	42	41	40	25
Interval_18692	chr7	130897228	130897951	+	724	63	78	47	69	39	55
Interval_18693	chr7	130911994	130914092	+	2099	439	477	381	520	308	374
Interval_18694	chr7	130916094	130916635	+	542	28	39	46	31	40	27
Interval_18695	chr7	130940952	130941964	+	1013	84	102	92	104	49	83
Interval_18696	chr7	130959487	130961652	+	2166	207	220	724	273	617	169
Interval_18697	chr7	131104717	131111620	+	6904	3625	3775	3877	3955	3308	3471
Interval_18698	chr7	131234867	131235717	+	851	38	38	54	46	39	29
Interval_18699	chr7	131326961	131329810	+	2850	1743	1775	1714	1868	1482	1612
Interval_18700	chr7	131555566	131557463	+	1898	493	567	686	599	575	513
Interval_18701	chr7	132435361	132435680	+	320	6	5	22	8	22	5
Interval_18702	chr7	132750223	132750730	+	508	8	11	29	13	23	11
Interval_18703	chr7	133080930	133082593	+	1664	967	1027	1009	1102	867	931
Interval_18704	chr7	133252583	133254290	+	1708	703	734	696	853	579	675
Interval_18705	chr7	134126785	134127926	+	1142	303	321	379	383	331	292
Interval_18706	chr7	134315690	134317528	+	1839	1091	1143	1152	1210	937	1072
Interval_18707	chr7	134432272	134433245	+	974	86	98	126	93	110	79
Interval_18708	chr7	134458027	134459755	+	1729	1040	1023	1121	1136	1008	961
Interval_18709	chr7	134645715	134648648	+	2934	930	992	918	1089	702	834
Interval_18710	chr7	134863950	134864215	+	266	7	11	21	16	9	4
Interval_18711	chr7	134932813	134933764	+	952	72	69	130	65	107	65
Interval_18712	chr7	134985810	134988033	+	2224	1231	1226	1341	1373	1098	1152
Interval_18713	chr7	135147295	135149840	+	2546	460	571	774	614	624	476
Interval_18714	chr7	135169094	135171473	+	2380	1378	1362	1445	1504	1258	1316
Interval_18715	chr7	135210440	135212269	+	1830	1012	1013	1037	1143	952	984
Interval_18716	chr7	135508237	135511137	+	2901	1541	1537	1589	1772	1312	1404
Interval_18717	chr7	135557375	135559232	+	1858	1091	1100	1097	1183	967	1038
Interval_18718	chr7	135661527	135664013	+	2487	1185	1230	1220	1419	1037	1135
Interval_18719	chr7	135974995	135977991	+	2997	1087	1119	1085	1208	981	1015
Interval_18720	chr7	136419823	136420218	+	396	12	13	17	13	16	13
Interval_18721	chr7	138459514	138462350	+	2837	1574	1575	1561	1681	1354	1452
Interval_18722	chr7	138980478	138982368	+	1891	478	528	670	514	545	399
Interval_18723	chr7	139034996	139036377	+	1382	319	340	303	337	265	281
Interval_18724	chr7	139094703	139095769	+	1067	56	78	75	86	46	52
Interval_18725	chr7	139103901	139105324	+	1424	77	92	67	100	43	91
Interval_18726	chr7	139106224	139106866	+	643	41	54	27	46	20	33
Interval_18727	chr7	139107030	139110342	+	3313	2003	2040	2050	2306	1724	1890
Interval_18728	chr7	139133304	139134300	+	997	212	215	267	259	200	212
Interval_18729	chr7	139230445	139232752	+	2308	1713	1761	1806	1916	1638	1677
Interval_18730	chr7	139339653	139342454	+	2802	1373	1404	1421	1596	1161	1274
Interval_18731	chr7	139358332	139362031	+	3700	2145	2131	2177	2408	1865	2063
Interval_18732	chr7	139776018	139778890	+	2873	662	701	905	819	758	644
Interval_18733	chr7	139916711	139916947	+	237	18	12	18	16	21	14
Interval_18734	chr7	140061811	140063506	+	1696	1097	1084	1159	1197	1023	1059
Interval_18735	chr7	140141401	140141685	+	285	16	16	10	9	6	10
Interval_18736	chr7	140175026	140178031	+	3006	1609	1673	1643	1800	1356	1557
Interval_18737	chr7	140229643	140232119	+	2477	885	989	946	1044	783	852
Interval_18738	chr7	140397638	140398929	+	1292	537	575	538	618	489	550
Interval_18739	chr7	140403613	140404759	+	1147	217	274	363	294	314	228
Interval_18740	chr7	140477243	140480098	+	2856	1480	1521	1536	1622	1310	1441
Interval_18741	chr7	140640085	140641349	+	1265	16	17	92	26	83	20
Interval_18742	chr7	140672373	140676255	+	3883	1280	1368	1141	1476	906	1162
Interval_18743	chr7	140696096	140698410	+	2315	1455	1454	1417	1592	1325	1405
Interval_18744	chr7	140923398	140925706	+	2309	1297	1320	1400	1443	1182	1242
Interval_18745	chr7	141013668	141015646	+	1979	937	945	1000	1068	834	889
Interval_18746	chr7	141511559	141512527	+	969	52	41	72	40	72	28
Interval_18747	chr7	141550605	141552277	+	1673	816	859	826	909	700	786
Interval_18748	chr7	141700910	141702817	+	1908	596	667	652	674	553	584
Interval_18749	chr7	141737147	141739574	+	2428	910	910	981	1050	822	882
Interval_18750	chr7	141975937	141976469	+	533	26	21	58	30	23	22
Interval_18751	chr7	142352553	142352922	+	370	6	6	19	12	20	7
Interval_18752	chr7	142782942	142783513	+	572	74	88	104	82	79	76
Interval_18753	chr7	142796363	142798226	+	1864	300	327	445	375	330	282
Interval_18754	chr7	142853876	142855674	+	1799	524	544	850	591	794	525
Interval_18755	chr7	143262929	143264539	+	1611	957	983	1041	1074	861	908
Interval_18756	chr7	143287763	143290191	+	2429	1178	1208	1202	1331	1033	1091
Interval_18757	chr7	143362374	143362702	+	329	9	3	17	3	15	4
Interval_18758	chr7	143379907	143382348	+	2442	941	977	1109	1032	976	932
Interval_18759	chr7	143836458	143836911	+	454	45	45	52	49	48	47
Interval_18760	chr7	143837205	143837481	+	277	30	37	28	37	33	28
Interval_18761	chr7	143884977	143885502	+	526	25	38	46	37	29	28
Interval_18762	chr7	143901221	143902462	+	1242	397	397	438	456	383	393
Interval_18763	chr7	144834510	144836614	+	2105	887	938	994	1070	813	874
Interval_18764	chr7	145082889	145083367	+	479	6	3	30	3	13	2
Interval_18765	chr7	145845172	145845760	+	589	12	24	25	23	29	23
Interval_18766	chr7	146342168	146342499	+	332	20	9	9	3	5	8
Interval_18767	chr7	146344971	146346824	+	1854	178	189	143	203	87	145
Interval_18768	chr7	146656279	146656568	+	290	5	9	18	4	13	3
Interval_18769	chr7	147088702	147089262	+	561	19	18	30	25	15	21
Interval_18770	chr7	147170595	147171528	+	934	94	115	126	113	127	85
Interval_18771	chr7	147197113	147197878	+	766	28	41	66	47	22	40
Interval_18772	chr7	148339394	148339826	+	433	7	19	39	12	32	16
Interval_18773	chr7	148501240	148502046	+	807	52	47	73	55	51	29
Interval_18774	chr7	148697630	148700832	+	3203	1881	1938	2046	2031	1759	1875
Interval_18775	chr7	148881652	148885820	+	4169	2221	2321	2296	2500	1930	2118
Interval_18776	chr7	148940084	148942545	+	2462	940	982	1050	1086	865	893
Interval_18777	chr7	148962545	148964796	+	2252	330	348	337	394	282	318
Interval_18778	chr7	148966350	148967407	+	1058	122	124	110	133	95	113
Interval_18779	chr7	148982568	148984596	+	2029	399	395	490	434	396	379
Interval_18780	chr7	148985295	148988418	+	3124	938	978	1022	1067	802	918
Interval_18781	chr7	149026095	149029501	+	3407	1484	1572	1536	1689	1284	1352
Interval_18782	chr7	149064670	149066222	+	1553	649	706	707	836	598	686
Interval_18783	chr7	149089418	149091844	+	2427	1454	1436	1522	1547	1271	1378
Interval_18784	chr7	149125159	149128036	+	2878	2166	2188	2299	2366	2008	2092
Interval_18785	chr7	149145140	149148784	+	3645	2222	2199	2239	2420	1982	2079
Interval_18786	chr7	149195057	149197182	+	2126	1103	1147	1284	1259	1068	1012
Interval_18787	chr7	149238668	149240831	+	2164	1018	1033	1013	1083	888	991
Interval_18788	chr7	149261392	149263228	+	1837	825	824	1029	901	883	779
Interval_18789	chr7	149284811	149286013	+	1203	388	454	476	466	385	445
Interval_18790	chr7	149322011	149322362	+	352	22	20	31	23	21	11
Interval_18791	chr7	149421802	149423483	+	1682	316	333	434	393	330	306
Interval_18792	chr7	149459251	149461323	+	2073	718	772	906	871	777	685
Interval_18793	chr7	149496449	149498592	+	2144	1046	1111	1102	1097	1041	976
Interval_18794	chr7	149623316	149625483	+	2168	1177	1225	1359	1323	1185	1170
Interval_18795	chr7	149714111	149716027	+	1917	760	769	759	857	607	698
Interval_18796	chr7	149741924	149742249	+	326	11	11	18	14	25	12
Interval_18797	chr7	149771243	149774010	+	2768	268	300	385	292	389	287
Interval_18798	chr7	149787593	149788065	+	473	15	11	38	21	36	10
Interval_18799	chr7	149838144	149839379	+	1236	877	912	873	997	798	859
Interval_18800	chr7	149872912	149874898	+	1987	1083	1189	1228	1169	1082	1057
Interval_18801	chr7	150322000	150324566	+	2567	1571	1540	1673	1700	1470	1479
Interval_18802	chr7	150367964	150370270	+	2307	1051	1090	1230	1200	1068	1057
Interval_18803	chr7	150378282	150380645	+	2364	1109	1212	1202	1262	1016	1099
Interval_18804	chr7	150404432	150407434	+	3003	1227	1222	1369	1381	1119	1142
Interval_18805	chr7	150685464	150686470	+	1007	40	56	74	60	56	35
Interval_18806	chr7	150897473	150898017	+	545	34	39	24	38	29	30
Interval_18807	chr7	150974188	150976216	+	2029	667	670	549	743	424	578
Interval_18808	chr7	150976877	150979417	+	2541	502	549	493	552	416	459
Interval_18809	chr7	151008590	151009141	+	552	11	15	21	11	25	4
Interval_18810	chr7	151013725	151014568	+	844	124	152	178	153	132	126
Interval_18811	chr7	151017595	151018703	+	1109	102	102	160	123	125	113
Interval_18812	chr7	151027778	151029370	+	1593	689	688	793	806	598	631
Interval_18813	chr7	151056920	151061164	+	4245	2089	2199	1998	2352	1685	1974
Interval_18814	chr7	151079601	151084048	+	4448	2503	2577	2546	2643	2141	2362
Interval_18815	chr7	151085743	151087952	+	2210	435	511	602	509	553	432
Interval_18816	chr7	151115203	151115622	+	420	3	2	11	6	25	6
Interval_18817	chr7	151226015	151228221	+	2207	1195	1165	1317	1298	1169	1081
Interval_18818	chr7	151231611	151234020	+	2410	1639	1681	1715	1810	1461	1545
Interval_18819	chr7	151243767	151244003	+	237	10	10	17	14	13	11
Interval_18820	chr7	151244976	151246050	+	1075	108	127	136	141	110	100
Interval_18821	chr7	151248741	151249422	+	682	10	10	36	12	34	7
Interval_18822	chr7	151251437	151252264	+	828	17	14	58	25	54	15
Interval_18823	chr7	151276768	151277673	+	906	170	152	244	179	170	138
Interval_18824	chr7	151341250	151343145	+	1896	638	707	784	777	637	625
Interval_18825	chr7	151349387	151350590	+	1204	221	256	276	257	221	227
Interval_18826	chr7	151381023	151382244	+	1222	68	68	176	63	129	62
Interval_18827	chr7	151397674	151398109	+	436	28	26	38	24	31	19
Interval_18828	chr7	151400709	151401698	+	990	120	115	136	150	102	96
Interval_18829	chr7	151448106	151448963	+	858	119	135	192	144	152	125
Interval_18830	chr7	151517694	151520898	+	3205	1823	1865	1895	1978	1613	1736
Interval_18831	chr7	151769415	151770018	+	604	3	22	44	24	53	19
Interval_18832	chr7	151782819	151783305	+	487	11	14	23	8	19	11
Interval_18833	chr7	152159157	152159498	+	342	18	5	25	16	15	19
Interval_18834	chr7	152366836	152367164	+	329	17	21	20	14	25	13
Interval_18835	chr7	152432348	152437389	+	5042	1872	2064	1876	2253	1571	1890
Interval_18836	chr7	152463025	152465417	+	2393	1815	1833	1829	1974	1663	1727
Interval_18837	chr7	152574859	152575141	+	283	12	18	26	21	15	15
Interval_18838	chr7	152674830	152676953	+	2124	1183	1239	1369	1357	1080	1155
Interval_18839	chr7	152759208	152760955	+	1748	1146	1118	1130	1221	1013	1062
Interval_18840	chr7	154777577	154778191	+	615	24	15	50	27	35	19
Interval_18841	chr7	154794046	154794460	+	415	8	9	18	13	18	9
Interval_18842	chr7	154927656	154929420	+	1765	835	858	873	857	675	746
Interval_18843	chr7	155001511	155005133	+	3623	2467	2431	2329	2602	2093	2341
Interval_18844	chr7	155205317	155206984	+	1668	616	668	746	749	582	602
Interval_18845	chr7	155296308	155301192	+	4885	3208	3276	2968	3534	2498	3049
Interval_18846	chr7	155344426	155345315	+	890	167	161	257	178	182	147
Interval_18847	chr7	155490361	155491568	+	1208	52	50	98	61	94	48
Interval_18848	chr7	155506687	155507448	+	762	7	10	51	12	50	4
Interval_18849	chr7	155609871	155610507	+	637	32	40	60	31	48	33
Interval_18850	chr7	155643385	155646739	+	3355	2556	2527	2629	2817	2257	2495
Interval_18851	chr7	155722142	155722698	+	557	20	12	19	22	20	19
Interval_18852	chr7	155739521	155749943	+	10423	1560	1708	757	1755	562	1307
Interval_18853	chr7	155751962	155753872	+	1911	166	200	138	173	114	144
Interval_18854	chr7	155754427	155754758	+	332	13	19	10	19	16	10
Interval_18855	chr7	155763671	155764296	+	626	70	63	55	70	39	66
Interval_18856	chr7	156576199	156576742	+	544	2	1	26	6	19	4
Interval_18857	chr7	156640057	156641539	+	1483	384	387	492	485	349	377
Interval_18858	chr7	156891463	156894265	+	2803	1248	1272	1274	1446	1149	1246
Interval_18859	chr7	156943514	156943782	+	269	4	2	10	4	14	10
Interval_18860	chr7	156948698	156951845	+	3148	1627	1661	1524	1704	1342	1494
Interval_18861	chr7	156999480	157001371	+	1892	133	154	323	162	259	150
Interval_18862	chr7	157009191	157011867	+	2677	847	984	1208	978	1068	795
Interval_18863	chr7	157039257	157039753	+	497	10	6	15	14	22	10
Interval_18864	chr7	157138098	157140724	+	2627	1263	1317	1217	1425	1084	1223
Interval_18865	chr7	157279153	157279660	+	508	16	15	28	18	29	11
Interval_18866	chr7	157336135	157340118	+	3984	1500	1574	1347	1773	1031	1431
Interval_18867	chr7	157874451	157875593	+	1143	37	27	75	56	70	29
Interval_18868	chr7	158500455	158501112	+	658	45	47	46	50	42	35
Interval_18869	chr7	158539381	158540771	+	1391	222	246	126	215	95	206
Interval_18870	chr7	158541344	158541764	+	421	28	47	48	41	33	37
Interval_18871	chr7	158703426	158705813	+	2388	1584	1653	1572	1770	1381	1588
Interval_18872	chr7	158827850	158830552	+	2703	1502	1710	1525	1722	1354	1490
Interval_18873	chr7	158855988	158857427	+	1440	857	882	860	959	790	851
Interval_18874	chr7	158863512	158864296	+	785	68	64	47	68	32	62
Interval_18875	chr7	158957467	158958972	+	1506	377	408	425	441	321	345
Interval_18876	chr7	158973208	158973857	+	650	31	41	57	33	42	34
Interval_18877	chr7	158976261	158977263	+	1003	115	112	80	140	67	106
Interval_18878	chr8	232790	233359	+	570	31	35	39	33	34	38
Interval_18879	chr8	407194	407602	+	409	14	15	15	16	12	12
Interval_18880	chr8	1762726	1763353	+	628	67	71	72	80	60	45
Interval_18881	chr8	1763645	1764855	+	1211	416	452	473	522	411	422
Interval_18882	chr8	1787964	1788258	+	295	6	4	13	4	6	6
Interval_18883	chr8	1798086	1798403	+	318	9	11	7	8	11	4
Interval_18884	chr8	1798509	1799205	+	697	40	45	77	53	55	46
Interval_18885	chr8	1817089	1817916	+	828	27	27	39	21	38	22
Interval_18886	chr8	1868104	1868637	+	534	13	11	30	12	13	12
Interval_18887	chr8	1973014	1974073	+	1060	161	175	224	184	185	150
Interval_18888	chr8	2023867	2024159	+	293	5	11	15	5	15	6
Interval_18889	chr8	2126966	2128251	+	1286	141	136	196	145	145	127
Interval_18890	chr8	2607463	2607745	+	283	8	8	4	5	10	6
Interval_18891	chr8	2616995	2618083	+	1089	36	43	32	41	29	29
Interval_18892	chr8	2619280	2620044	+	765	23	9	11	17	5	13
Interval_18893	chr8	2620198	2624207	+	4010	506	537	473	583	372	488
Interval_18894	chr8	2628575	2629663	+	1089	47	44	38	45	24	41
Interval_18895	chr8	2629974	2630337	+	364	10	4	17	5	5	4
Interval_18896	chr8	2631116	2633512	+	2397	115	146	68	175	39	115
Interval_18897	chr8	2639995	2640496	+	502	24	25	10	39	12	23
Interval_18898	chr8	2642866	2645905	+	3040	432	434	277	472	215	404
Interval_18899	chr8	2646122	2646521	+	400	5	13	4	14	4	15
Interval_18900	chr8	2651486	2651847	+	362	10	7	14	10	8	5
Interval_18901	chr8	2654030	2654333	+	304	9	8	19	18	7	7
Interval_18902	chr8	2711832	2712478	+	647	17	27	24	18	17	16
Interval_18903	chr8	2726015	2730067	+	4053	647	748	746	814	606	682
Interval_18904	chr8	2733121	2734692	+	1572	195	195	222	229	174	180
Interval_18905	chr8	3108753	3109171	+	419	5	13	8	8	4	13
Interval_18906	chr8	3147922	3148408	+	487	14	13	9	18	4	6
Interval_18907	chr8	3149230	3152307	+	3078	205	229	195	234	176	197
Interval_18908	chr8	3283668	3284779	+	1112	80	88	115	123	97	106
Interval_18909	chr8	6405449	6407938	+	2490	796	824	842	931	670	802
Interval_18910	chr8	6690310	6690546	+	237	3	4	10	3	7	2
Interval_18911	chr8	6690911	6691151	+	241	2	7	7	5	3	9
Interval_18912	chr8	6706345	6710457	+	4113	978	981	1056	1157	905	983
Interval_18913	chr8	6834169	6836044	+	1876	228	283	406	311	363	272
Interval_18914	chr8	6841026	6841343	+	318	6	8	14	13	15	9
Interval_18915	chr8	7354928	7355494	+	567	36	35	76	60	55	43
Interval_18916	chr8	7783672	7784093	+	422	8	17	16	16	21	17
Interval_18917	chr8	8282402	8284760	+	2359	217	219	160	265	110	194
Interval_18918	chr8	8346527	8346828	+	302	8	8	10	9	10	9
Interval_18919	chr8	8383858	8387288	+	3431	853	844	852	931	680	717
Interval_18920	chr8	8685251	8685518	+	268	8	10	2	17	4	8
Interval_18921	chr8	8701141	8703579	+	2439	455	456	423	532	303	408
Interval_18922	chr8	8736950	8737188	+	239	5	5	6	4	7	11
Interval_18923	chr8	8797171	8797725	+	555	22	33	23	36	16	17
Interval_18924	chr8	8820957	8821466	+	510	11	12	11	14	7	25
Interval_18925	chr8	8822370	8823046	+	677	9	24	14	4	6	9
Interval_18926	chr8	8887905	8894117	+	6213	991	1113	1025	1110	835	866
Interval_18927	chr8	8963215	8963795	+	581	8	29	51	32	43	14
Interval_18928	chr8	9149636	9152093	+	2458	570	640	653	707	564	556
Interval_18929	chr8	9555217	9557509	+	2293	662	683	692	739	568	656
Interval_18930	chr8	9557945	9558251	+	307	6	6	6	5	4	5
Interval_18931	chr8	9720423	9721986	+	1564	82	91	66	85	44	80
Interval_18932	chr8	9906275	9906814	+	540	6	12	15	15	17	6
Interval_18933	chr8	10053959	10055722	+	1764	388	381	478	443	336	376
Interval_18934	chr8	10334051	10335245	+	1195	80	87	149	114	77	80
Interval_18935	chr8	10838580	10840588	+	2009	511	543	583	624	487	504
Interval_18936	chr8	10850620	10850856	+	237	3	6	7	1	5	6
Interval_18937	chr8	11015277	11017054	+	1778	346	350	470	415	349	349
Interval_18938	chr8	11125216	11125672	+	457	4	14	5	8	6	6
Interval_18939	chr8	11158636	11158872	+	237	3	7	11	6	6	1
Interval_18940	chr8	11198458	11202222	+	3765	842	869	863	971	687	822
Interval_18941	chr8	11283787	11285695	+	1909	607	585	598	716	504	579
Interval_18942	chr8	11346420	11348622	+	2203	310	332	441	386	356	291
Interval_18943	chr8	11390434	11393409	+	2976	187	217	116	267	100	204
Interval_18944	chr8	11416903	11417711	+	809	18	18	29	15	22	8
Interval_18945	chr8	11417926	11418717	+	792	20	33	18	12	12	15
Interval_18946	chr8	11443130	11445430	+	2301	149	152	92	170	73	133
Interval_18947	chr8	11457154	11458596	+	1443	110	135	42	101	38	89
Interval_18948	chr8	11464404	11467760	+	3357	851	930	907	959	729	732
Interval_18949	chr8	11492402	11497852	+	5451	993	1014	1063	1143	844	831
Interval_18950	chr8	11498570	11499847	+	1278	107	117	78	108	48	100
Interval_18951	chr8	11502633	11503142	+	510	20	20	13	14	16	15
Interval_18952	chr8	11538400	11538996	+	597	15	20	12	24	14	27
Interval_18953	chr8	11539196	11540170	+	975	32	26	18	33	12	33
Interval_18954	chr8	11736243	11736702	+	460	21	17	24	16	20	15
Interval_18955	chr8	11769070	11770670	+	1601	286	303	307	338	254	264
Interval_18956	chr8	11800991	11801509	+	519	18	14	11	19	5	19
Interval_18957	chr8	11801734	11808951	+	7218	1402	1528	1145	1625	1013	1315
Interval_18958	chr8	11866969	11868781	+	1813	347	354	429	416	336	348
Interval_18959	chr8	11902333	11902819	+	487	15	15	30	16	23	18
Interval_18960	chr8	12194176	12195046	+	871	50	55	62	53	55	69
Interval_18961	chr8	12362052	12362348	+	297	5	8	6	15	16	5
Interval_18962	chr8	12435825	12436219	+	395	27	19	20	21	17	22
Interval_18963	chr8	12436820	12437459	+	640	18	14	21	20	12	20
Interval_18964	chr8	12752683	12757537	+	4855	1247	1316	1187	1405	1016	1163
Interval_18965	chr8	12764482	12765246	+	765	35	48	23	57	22	32
Interval_18966	chr8	12766002	12766535	+	534	31	32	39	29	31	19
Interval_18967	chr8	16185477	16186586	+	1110	39	58	31	49	30	38
Interval_18968	chr8	16454409	16457461	+	3053	345	362	400	451	298	359
Interval_18969	chr8	16604087	16604329	+	243	4	9	5	5	6	3
Interval_18970	chr8	17001145	17002196	+	1052	82	83	120	92	85	68
Interval_18971	chr8	17026343	17028516	+	2174	578	588	618	692	522	576
Interval_18972	chr8	17155445	17157741	+	2297	640	671	713	724	593	655
Interval_18973	chr8	17245696	17248146	+	2451	633	726	675	795	611	645
Interval_18974	chr8	17577046	17577768	+	723	35	47	97	42	83	31
Interval_18975	chr8	17801332	17801733	+	402	4	4	22	5	11	4
Interval_18976	chr8	17921992	17925234	+	3243	921	927	910	1049	740	827
Interval_18977	chr8	18082367	18085615	+	3249	675	696	776	816	614	623
Interval_18978	chr8	18209810	18210991	+	1182	140	167	143	177	116	128
Interval_18979	chr8	18886829	18887120	+	292	1	2	10	1	11	3
Interval_18980	chr8	19081871	19085228	+	3358	278	394	97	357	93	268
Interval_18981	chr8	19097366	19097606	+	241	9	8	2	5	8	5
Interval_18982	chr8	19816514	19818695	+	2182	460	410	433	521	362	392
